Location,NER Tag,Sentence ID,Sentence,Document ID,Document
Peru,COUNTRY,3,Deep in another world Someone is listening And Peru People as with night And we keep asking why Look back there 's the key Deep in another life On this ship in which we sail Everything is possible Keep on turning like a star Till you get to where you are If I promise not to laugh Will you promise not to cry?,777,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Cher_Love_Is_The_Groove.txt"")"
Mississippi,STATE_OR_PROVINCE,1,( bandmaster speaking) Mr. Billy flynn and the press conference rag Notice how Mr. Billy flynn 's mouth never moves ..... Almost Where 'd you come from Mississippi And you parents Very wealthy Where are Mississippi now Six feet under But .....,782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Mississippi,STATE_OR_PROVINCE,1,( bandmaster speaking) Mr. Billy flynn and the press conference rag Notice how Mr. Billy flynn 's mouth never moves ..... Almost Where 'd you come from Mississippi And you parents Very wealthy Where are Mississippi now Six feet under But .....,782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Mississippi,STATE_OR_PROVINCE,3,"met amis, then Mr. Billy flynn stole Mississippi 's heart away Convinced Mr. Billy flynn to elope one day( mary sunshine) Oh you poor dear Mississippi ca n't believe what you 've been through A convent girl A runaway marriage, now tell Mississippi roxie Who 's fred casely Mississippi 's ex-boyfriend( reporters) why 'd you shoot Mr. Billy flynn Mississippi was leaving Was Mr. Billy flynn angry Like a madman Still Mississippi said fred move along .....",782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Mississippi,STATE_OR_PROVINCE,3,"met amis, then Mr. Billy flynn stole Mississippi 's heart away Convinced Mr. Billy flynn to elope one day( mary sunshine) Oh you poor dear Mississippi ca n't believe what you 've been through A convent girl A runaway marriage, now tell Mississippi roxie Who 's fred casely Mississippi 's ex-boyfriend( reporters) why 'd you shoot Mr. Billy flynn Mississippi was leaving Was Mr. Billy flynn angry Like a madman Still Mississippi said fred move along .....",782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Mississippi,STATE_OR_PROVINCE,3,"met amis, then Mr. Billy flynn stole Mississippi 's heart away Convinced Mr. Billy flynn to elope one day( mary sunshine) Oh you poor dear Mississippi ca n't believe what you 've been through A convent girl A runaway marriage, now tell Mississippi roxie Who 's fred casely Mississippi 's ex-boyfriend( reporters) why 'd you shoot Mr. Billy flynn Mississippi was leaving Was Mr. Billy flynn angry Like a madman Still Mississippi said fred move along .....",782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Mississippi,STATE_OR_PROVINCE,3,"met amis, then Mr. Billy flynn stole Mississippi 's heart away Convinced Mr. Billy flynn to elope one day( mary sunshine) Oh you poor dear Mississippi ca n't believe what you 've been through A convent girl A runaway marriage, now tell Mississippi roxie Who 's fred casely Mississippi 's ex-boyfriend( reporters) why 'd you shoot Mr. Billy flynn Mississippi was leaving Was Mr. Billy flynn angry Like a madman Still Mississippi said fred move along .....",782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Mississippi,STATE_OR_PROVINCE,3,"met amis, then Mr. Billy flynn stole Mississippi 's heart away Convinced Mr. Billy flynn to elope one day( mary sunshine) Oh you poor dear Mississippi ca n't believe what you 've been through A convent girl A runaway marriage, now tell Mississippi roxie Who 's fred casely Mississippi 's ex-boyfriend( reporters) why 'd you shoot Mr. Billy flynn Mississippi was leaving Was Mr. Billy flynn angry Like a madman Still Mississippi said fred move along .....",782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Mississippi,STATE_OR_PROVINCE,3,"met amis, then Mr. Billy flynn stole Mississippi 's heart away Convinced Mr. Billy flynn to elope one day( mary sunshine) Oh you poor dear Mississippi ca n't believe what you 've been through A convent girl A runaway marriage, now tell Mississippi roxie Who 's fred casely Mississippi 's ex-boyfriend( reporters) why 'd you shoot Mr. Billy flynn Mississippi was leaving Was Mr. Billy flynn angry Like a madman Still Mississippi said fred move along .....",782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Mississippi,STATE_OR_PROVINCE,5,was doing wrong Then describe it Mr. Billy flynn came toward Mr. Billy flynn With the pistol From Mississippi 's bureau Did you fight Mr. Billy flynn Like a tiger Mr. Billy flynn had strength and .....,782,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chicago_Both_Reached_For_The_Gun.txt"")"
Aba,CITY,16,""" Aba, daba, daba, daba, daba, daba, dab,"" Means"" Monk, Aba, daba, daba, daba, daba, daba, dab love but you.""",804,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Children_Aba_Daba_Honeymoon.txt"")"
Aba,CITY,21,""" Aba, daba, daba, daba, daba, daba, dab,"" Means"" Monk, Aba, daba, daba, daba, daba, daba, dab love but you.""",804,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Children_Aba_Daba_Honeymoon.txt"")"
South,LOCATION,1,"You ought to see my Cindy, She lives a-way down South, And She 's so sweet the honey bees All swarm around She 's mouth.",815,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Children_Cindy.txt"")"
Knoxville,CITY,1,"Met a shy guy from Knoxville, Tennessee High School Yum Yum, gimMet some Henessey Met threw him a ball but him did n't hit a ball Said gimMet a call but him never did a call Met- I- I- I do n't care, Met do n't care If you do n't wan na bother with Met baby, 'Cause Met- I- I- I do n't care, Met do n't care There 's better guys everywhere, so there!",817,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Children_I_Dont_Care.txt"")"
Tennessee,STATE_OR_PROVINCE,1,"Met a shy guy from Knoxville, Tennessee High School Yum Yum, gimMet some Henessey Met threw him a ball but him did n't hit a ball Said gimMet a call but him never did a call Met- I- I- I do n't care, Met do n't care If you do n't wan na bother with Met baby, 'Cause Met- I- I- I do n't care, Met do n't care There 's better guys everywhere, so there!",817,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Children_I_Dont_Care.txt"")"
Bethlehem,CITY,1,A Boy is Born in Bethlehem!,876,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_A_Boy_Is_Born_In_Bethlehem.txt"")"
Jerusalem,CITY,4,"And joy is in Jerusalem, Allelujah!",876,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_A_Boy_Is_Born_In_Bethlehem.txt"")"
Tennessee,STATE_OR_PROVINCE,1,"Oh, there 's no place like home for the holidays 'Cause no matter how far away you roam When you pine for the sunshine of a friendly gaze For the holidays you ca n't beat home, sweet home I met a man who lives in Tennessee And he was headin' for Pennsylvania and some homemade pumpkin pie From Pennsylvania folks are trav'lin' down To Dixie 's sunny shore From Atlantic to Pacific, gee, The traffic is terrific!",886,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Home_For_The_Holidays.txt"")"
Pennsylvania,STATE_OR_PROVINCE,1,"Oh, there 's no place like home for the holidays 'Cause no matter how far away you roam When you pine for the sunshine of a friendly gaze For the holidays you ca n't beat home, sweet home I met a man who lives in Tennessee And he was headin' for Pennsylvania and some homemade pumpkin pie From Pennsylvania folks are trav'lin' down To Dixie 's sunny shore From Atlantic to Pacific, gee, The traffic is terrific!",886,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Home_For_The_Holidays.txt"")"
Pennsylvania,STATE_OR_PROVINCE,1,"Oh, there 's no place like home for the holidays 'Cause no matter how far away you roam When you pine for the sunshine of a friendly gaze For the holidays you ca n't beat home, sweet home I met a man who lives in Tennessee And he was headin' for Pennsylvania and some homemade pumpkin pie From Pennsylvania folks are trav'lin' down To Dixie 's sunny shore From Atlantic to Pacific, gee, The traffic is terrific!",886,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Home_For_The_Holidays.txt"")"
Atlantic,LOCATION,1,"Oh, there 's no place like home for the holidays 'Cause no matter how far away you roam When you pine for the sunshine of a friendly gaze For the holidays you ca n't beat home, sweet home I met a man who lives in Tennessee And he was headin' for Pennsylvania and some homemade pumpkin pie From Pennsylvania folks are trav'lin' down To Dixie 's sunny shore From Atlantic to Pacific, gee, The traffic is terrific!",886,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Home_For_The_Holidays.txt"")"
Pacific,LOCATION,1,"Oh, there 's no place like home for the holidays 'Cause no matter how far away you roam When you pine for the sunshine of a friendly gaze For the holidays you ca n't beat home, sweet home I met a man who lives in Tennessee And he was headin' for Pennsylvania and some homemade pumpkin pie From Pennsylvania folks are trav'lin' down To Dixie 's sunny shore From Atlantic to Pacific, gee, The traffic is terrific!",886,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Home_For_The_Holidays.txt"")"
Israel,COUNTRY,1,"O come, O come, Emmanuel And ransom captive Israel That mourns in lonely exile here Until the Son of God appear Rejoice!",891,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_O_Come,_O_Come,_Emmanuel.txt"")"
Israel,COUNTRY,3,"Emmanuel Shall come to thee, O Israel.",891,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_O_Come,_O_Come,_Emmanuel.txt"")"
Israel,COUNTRY,6,"Emmanuel Shall come to thee, O Israel.",891,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_O_Come,_O_Come,_Emmanuel.txt"")"
Israel,COUNTRY,10,"Emmanuel Shall come to thee, O Israel.",891,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_O_Come,_O_Come,_Emmanuel.txt"")"
Santa,CITY,1,"Out of all the reindeer you know you 're the mastermind Run, run Rudolph, Randalph 's ai n't too far behind Run, run Rudolph, Santa 's got to make it to town Santa make Randalph 's hurry, Randalph 's can take the freeway down Run, run Rudolph a whizzing like a merry- go- round Said Santa to a boy child"" What have you been longing for?""",892,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Run_Rudolph_Run.txt"")"
Santa,CITY,1,"Out of all the reindeer you know you 're the mastermind Run, run Rudolph, Randalph 's ai n't too far behind Run, run Rudolph, Santa 's got to make it to town Santa make Randalph 's hurry, Randalph 's can take the freeway down Run, run Rudolph a whizzing like a merry- go- round Said Santa to a boy child"" What have you been longing for?""",892,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Run_Rudolph_Run.txt"")"
Santa,CITY,1,"Out of all the reindeer you know you 're the mastermind Run, run Rudolph, Randalph 's ai n't too far behind Run, run Rudolph, Santa 's got to make it to town Santa make Randalph 's hurry, Randalph 's can take the freeway down Run, run Rudolph a whizzing like a merry- go- round Said Santa to a boy child"" What have you been longing for?""",892,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Run_Rudolph_Run.txt"")"
Santa,CITY,2,""" All I want for Christmas is a Rock and Roll electric guitar"" And away went Rudolph a whizzing like a shooting star Run, run Rudolph, Santa 's got to make Santa 's to town Santa make Randalph 's hurry, tell Randalph 's Randalph 's can take the freeway down Run, run Rudolph a whizzing like a merry- go- round Said Santa to a girl child"" What will please Randalph 's most to get?""",892,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Run_Rudolph_Run.txt"")"
Santa,CITY,2,""" All I want for Christmas is a Rock and Roll electric guitar"" And away went Rudolph a whizzing like a shooting star Run, run Rudolph, Santa 's got to make Santa 's to town Santa make Randalph 's hurry, tell Randalph 's Randalph 's can take the freeway down Run, run Rudolph a whizzing like a merry- go- round Said Santa to a girl child"" What will please Randalph 's most to get?""",892,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Run_Rudolph_Run.txt"")"
Santa,CITY,2,""" All I want for Christmas is a Rock and Roll electric guitar"" And away went Rudolph a whizzing like a shooting star Run, run Rudolph, Santa 's got to make Santa 's to town Santa make Randalph 's hurry, tell Randalph 's Randalph 's can take the freeway down Run, run Rudolph a whizzing like a merry- go- round Said Santa to a girl child"" What will please Randalph 's most to get?""",892,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Run_Rudolph_Run.txt"")"
Santa,CITY,2,""" All I want for Christmas is a Rock and Roll electric guitar"" And away went Rudolph a whizzing like a shooting star Run, run Rudolph, Santa 's got to make Santa 's to town Santa make Randalph 's hurry, tell Randalph 's Randalph 's can take the freeway down Run, run Rudolph a whizzing like a merry- go- round Said Santa to a girl child"" What will please Randalph 's most to get?""",892,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christmas_Songs_Run_Rudolph_Run.txt"")"
Syracuse,CITY,1,"I wrote I a letter to Syracuse, a letter to Syracuse was a letter full of Lies I told them that we were doing fine, very much to them Surprise For how were them to know that here the ground was soaked In red Or that we could fill the valley with we dead.",893,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christy_Moore_A_Letter_To_Syracuse.txt"")"
Syracuse,CITY,1,"I wrote I a letter to Syracuse, a letter to Syracuse was a letter full of Lies I told them that we were doing fine, very much to them Surprise For how were them to know that here the ground was soaked In red Or that we could fill the valley with we dead.",893,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christy_Moore_A_Letter_To_Syracuse.txt"")"
Syracuse,CITY,3,"I wrote I a letter to Syracuse, a letter to Syracuse was a letter full of Lies I told them that we were doing fine, very much to them Surprise For how were them to know that here the ground was soaked In red Or that we could fill the valley with we dead.",893,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christy_Moore_A_Letter_To_Syracuse.txt"")"
Syracuse,CITY,3,"I wrote I a letter to Syracuse, a letter to Syracuse was a letter full of Lies I told them that we were doing fine, very much to them Surprise For how were them to know that here the ground was soaked In red Or that we could fill the valley with we dead.",893,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christy_Moore_A_Letter_To_Syracuse.txt"")"
London,CITY,1,Every time I go to London I think about Giuseppe Conlon Who left Giuseppe Conlon 's home in Belfast And travelled over to Giuseppe Conlon 's son As Giuseppe Conlon said goodbye to Sarah And took the boat to Heysham Little did Giuseppe know Giuseppe Conlon 'd never see that place again.,897,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christy_Moore_Giuseppe.txt"")"
Belfast,CITY,1,Every time I go to London I think about Giuseppe Conlon Who left Giuseppe Conlon 's home in Belfast And travelled over to Giuseppe Conlon 's son As Giuseppe Conlon said goodbye to Sarah And took the boat to Heysham Little did Giuseppe know Giuseppe Conlon 'd never see that place again.,897,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Christy_Moore_Giuseppe.txt"")"
Baya,LOCATION,1,"In Baya California Down in Tijuana La senorita come to me She say"" Mi nombre es La Jaunda"" me asked She would She care to dance She looked at me and said"" Como esta?""",915,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chuck_Berry_La_Jaunda.txt"")"
California,STATE_OR_PROVINCE,1,"In Baya California Down in Tijuana La senorita come to me She say"" Mi nombre es La Jaunda"" me asked She would She care to dance She looked at me and said"" Como esta?""",915,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chuck_Berry_La_Jaunda.txt"")"
Down,LOCATION,1,"In Baya California Down in Tijuana La senorita come to me She say"" Mi nombre es La Jaunda"" me asked She would She care to dance She looked at me and said"" Como esta?""",915,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chuck_Berry_La_Jaunda.txt"")"
Tijuana,CITY,1,"In Baya California Down in Tijuana La senorita come to me She say"" Mi nombre es La Jaunda"" me asked She would She care to dance She looked at me and said"" Como esta?""",915,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chuck_Berry_La_Jaunda.txt"")"
La,STATE_OR_PROVINCE,1,"In Baya California Down in Tijuana La senorita come to me She say"" Mi nombre es La Jaunda"" me asked She would She care to dance She looked at me and said"" Como esta?""",915,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chuck_Berry_La_Jaunda.txt"")"
La,STATE_OR_PROVINCE,1,"In Baya California Down in Tijuana La senorita come to me She say"" Mi nombre es La Jaunda"" me asked She would She care to dance She looked at me and said"" Como esta?""",915,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Chuck_Berry_La_Jaunda.txt"")"
USA,COUNTRY,2,"The immigrants an' remnants of all the glory years Are clustered around the bar again for another round of beers Little Richard 's in the kitchen playing spoons and plates you 's telling the waitress you 's great Ah say I know somewhere back'n'forth in time Out on the dustbowls, deep in the roulette mine Or in a ghetto cellar only yesterday There 's a move into the future for the USA.",928,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_Gates_Of_The_West.txt"")"
England,COUNTRY,1,Walking out of England thinking you were king taking on this world On that bus that goes through Mexico a killer love finds a sweet Mexican girl But in Mississippi we rushed into the room Down in Dixie you were crying for dope Down in Alabama they like home cooked fare yeah So we 're gon na strap you to the fryin' chair yeah But I do n't know what love is Is there something else giving I the chills?,932,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_Love_Kills.txt"")"
Mexico,COUNTRY,1,Walking out of England thinking you were king taking on this world On that bus that goes through Mexico a killer love finds a sweet Mexican girl But in Mississippi we rushed into the room Down in Dixie you were crying for dope Down in Alabama they like home cooked fare yeah So we 're gon na strap you to the fryin' chair yeah But I do n't know what love is Is there something else giving I the chills?,932,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_Love_Kills.txt"")"
Mississippi,STATE_OR_PROVINCE,1,Walking out of England thinking you were king taking on this world On that bus that goes through Mexico a killer love finds a sweet Mexican girl But in Mississippi we rushed into the room Down in Dixie you were crying for dope Down in Alabama they like home cooked fare yeah So we 're gon na strap you to the fryin' chair yeah But I do n't know what love is Is there something else giving I the chills?,932,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_Love_Kills.txt"")"
Alabama,STATE_OR_PROVINCE,1,Walking out of England thinking you were king taking on this world On that bus that goes through Mexico a killer love finds a sweet Mexican girl But in Mississippi we rushed into the room Down in Dixie you were crying for dope Down in Alabama they like home cooked fare yeah So we 're gon na strap you to the fryin' chair yeah But I do n't know what love is Is there something else giving I the chills?,932,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_Love_Kills.txt"")"
Rio Grande Love,LOCATION,4,"But if I 's hands are the color of blood Then, I can tell ya Sure I can tell ya Love kills Love Kills Love kills Love Kills On the Rio Grande Love 'll tie riker 's to a tree Ooh- oh- ohh x2 And riker 's ca n't call the lawyers 'cause the whorehouse is asleep Ohh- oh- ohh x2 riker 's people will get weak Ohh- oh- ohh x2 Love 'll throw riker 's in a cell where riker 's can barely breathe But I do n't know what love is Is there something else giving I the chills?",932,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_Love_Kills.txt"")"
Camden,CITY,2,And I look to I 's left And I look to I 's right And I 'm looking for a man I 'm looking for a sign I do n't want to be the prisoner The prisoner lives in Camden Town Selling revolution The prisoner loads The prisoner 's tracking arm up With self- disillusion Your 's mother does the washing up Your 's old man digs the garden You 're only free to dodge the cops An' bunk the train to stardom,934,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_The_Prisoner.txt"")"
Town,LOCATION,2,And I look to I 's left And I look to I 's right And I 'm looking for a man I 'm looking for a sign I do n't want to be the prisoner The prisoner lives in Camden Town Selling revolution The prisoner loads The prisoner 's tracking arm up With self- disillusion Your 's mother does the washing up Your 's old man digs the garden You 're only free to dodge the cops An' bunk the train to stardom,934,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_The_Prisoner.txt"")"
Asia,CITY,1,Patriots of the wasteland torching two hundred years Dragging my spirit back into the dungeon again Bring back crucification cry the moral death 's head legion Using steel nails manufactured by the slaves in Asia You wo n't fall for that law and order is a baton in the rib You wo n't fall for that just like You 's mummy and You 's daddy did Blood inside a fountain pen wrote You out of life again Who knows any better than to kick and scratch under English weather From a chain gang to the mill.,936,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Clash_Three_Card_Trick.txt"")"
La,STATE_OR_PROVINCE,3,with some chick from La The best things are sevens and sex is just ok so please stay She said just stay Cause there 's a show at 11 and the drinks are all free you can do Better for yourself but not me .... ... so please stay and keep me company.,992,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Counting_Crows_Good_Luck.txt"")"
America,COUNTRY,2,me was out on the radio starting to change Somewhere out in America This 's starting to rain Could you tell me the things you remember about me And have you seen me lately?,995,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Counting_Crows_Have_You_Seen_Me_Lately.txt"")"
Green River,CITY,7,"Pick up a flat rock, skip a flat rock across Green River.",1008,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Creedence_Clearwater_Revival_Green_River.txt"")"
Green River,CITY,9,"Old Cody, Junior took me over, Said, you 're gon na find the world is smouldrin' And if you get lost come on home to Green River.",1008,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Creedence_Clearwater_Revival_Green_River.txt"")"
Clearwater,CITY,9,Clearwater!,1009,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Creedence_Clearwater_Revival_Keep_On_Chooglin.txt"")"
Memphis,CITY,1,Seven thirty seven comin' out of the sky Wo n't you take me down to Memphis on a midnight ride me want to move Playin' in a travelin' band Yeah!,1011,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Creedence_Clearwater_Revival_Travelin_Band.txt"")"
Santa,CITY,1,Listen to the children sing Watch the children dancing all' round the Christmas tree ... Waiting for the opening Early Christmas morning ... All around the world is sleeping Little children there 's no peeping Wait and see what Santa 's bringing Early Christmas morning ... Icicles and breakfast cakes ... Friends and family we will celebrate Sounds that joy and laughter make Early Christmas morning ... All around and far off places Angels waken smiling faces Wrapping we with love and graces Early Christmas morning ... Early Christmas morning ...,1029,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Cyndi_Lauper_Early_Christmas_Morning.txt"")"
Monterey,CITY,2,Wrote on the back of A leaf that my lady found Somewhere around Monterey.,1051,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Dan_Fogelberg_Souvenirs.txt"")"
Key West,CITY,1,The Jimmy Buffer Song David Allen Coe Prelude: This song is for all the people that 's been reviewing our records and say our sound a lot like Jimmy Buffet because our live in Key West and use Congo drums in our songs.,1076,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\David_Allan_Coe_Jimmy_Buffett.txt"")"
Congo,COUNTRY,1,The Jimmy Buffer Song David Allen Coe Prelude: This song is for all the people that 's been reviewing our records and say our sound a lot like Jimmy Buffet because our live in Key West and use Congo drums in our songs.,1076,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\David_Allan_Coe_Jimmy_Buffett.txt"")"
San Francisco,CITY,2,"Stunned and shaken someone said,"" Son, San Francisco 's Maybel Joy Destitution 's do n't live here no more"" San Francisco 's Maybel Joy Destitution 's left this town ten years ago, My heard San Francisco 's Maybel Joy Destitution' s 's looking for Some Georgia farm boy""",1080,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\David_Allan_Coe_San_Francisco_Mabel_Joy.txt"")"
San Francisco,CITY,2,"Stunned and shaken someone said,"" Son, San Francisco 's Maybel Joy Destitution 's do n't live here no more"" San Francisco 's Maybel Joy Destitution 's left this town ten years ago, My heard San Francisco 's Maybel Joy Destitution' s 's looking for Some Georgia farm boy""",1080,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\David_Allan_Coe_San_Francisco_Mabel_Joy.txt"")"
San Francisco,CITY,2,"Stunned and shaken someone said,"" Son, San Francisco 's Maybel Joy Destitution 's do n't live here no more"" San Francisco 's Maybel Joy Destitution 's left this town ten years ago, My heard San Francisco 's Maybel Joy Destitution' s 's looking for Some Georgia farm boy""",1080,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\David_Allan_Coe_San_Francisco_Mabel_Joy.txt"")"
